t_s,R_cm,dRdt_cm_per_s
17764.08204102,1.42715125,-0.00001296
17893.74687344,1.42544389,-0.00001339
18023.41170585,1.42367583,-0.00001389
18153.07653827,1.42184334,-0.00001436
18282.74137069,1.41995503,-0.00001475
18412.40620310,1.41802059,-0.00001507
18542.07103552,1.41604972,-0.00001532
18671.73586793,1.41405211,-0.00001548
18801.40070035,1.41203744,-0.00001558
18931.06553277,1.41001540,-0.00001560
19060.73036518,1.40799568,-0.00001554
19190.39519760,1.40598797,-0.00001541
19320.06003002,1.40400197,-0.00001521
19449.72486243,1.40204735,-0.00001493
19579.38969485,1.40013381,-0.00001457
19709.05452726,1.39827103,-0.00001415
19838.71935968,1.39646609,-0.00001378
19968.38419210,1.39468475,-0.00001369
20098.04902451,1.39291530,-0.00001359
20227.71385693,1.39115991,-0.00001348
20357.37868934,1.38942073,-0.00001334
20487.04352176,1.38769995,-0.00001319
