t_s,R_cm,dRdt_cm_per_s
90635.71785893,1.20300000,0.00000000
90765.38269135,1.20300000,0.00000000
90895.04752376,1.20300000,0.00000000
91024.71235618,1.20300000,0.00000000
91154.37718859,1.20300000,0.00000000
91284.04202101,1.20300000,0.00000000
91413.70685343,1.20300000,0.00000000
91543.37168584,1.20300000,0.00000000
91673.03651826,1.20300000,0.00000000
91802.70135068,1.20300000,0.00000000
91932.36618309,1.20300000,0.00000000
92062.03101551,1.20300000,0.00000000
92191.69584792,1.20300000,0.00000000
92321.36068034,1.20300000,0.00000000
92451.02551276,1.20300000,0.00000000
92580.69034517,1.20300000,0.00000000
92710.35517759,1.20300000,0.00000000
92840.02001000,1.20300000,0.00000000
92969.68484242,1.20300000,0.00000000
93099.34967484,1.20300000,0.00000000
93229.01450725,1.20300000,0.00000000
93358.67933967,1.20300000,0.00000000
93488.34417209,1.20300000,0.00000000
93618.00900450,1.20300000,0.00000000
93747.67383692,1.20300000,0.00000000
93877.33866933,1.20300000,0.00000000
94007.00350175,1.20300000,0.00000000
94136.66833417,1.20300000,0.00000000
94266.33316658,1.20300000,0.00000000
94395.99799900,1.20300000,0.00000000
94525.66283142,1.20300000,0.00000000
94655.32766383,1.20300000,0.00000000
94784.99249625,1.20300000,0.00000000
94914.65732866,1.20300000,0.00000000
95044.32216108,1.20300000,0.00000000
95173.98699350,1.20300000,0.00000000
95303.65182591,1.20300000,0.00000000
95433.31665833,1.20299898,-0.00000006
95562.98149075,1.20297689,-0.00000027
95692.64632316,1.20292930,-0.00000045
95822.31115558,1.20286069,-0.00000060
95951.97598799,1.20277556,-0.00000071
96081.64082041,1.20267840,-0.00000078
96211.30565283,1.20257367,-0.00000083
96340.97048524,1.20246588,-0.00000083
96470.63531766,1.20235951,-0.00000080
96600.30015008,1.20225904,-0.00000074
96729.96498249,1.20216895,-0.00000064
96859.62981491,1.20209375,-0.00000051
96989.29464732,1.20203790,-0.00000034
97118.95947974,1.20200590,-0.00000014
97248.62431216,1.20200000,0.00000000
97378.28914457,1.20200000,0.00000000
97507.95397699,1.20200000,0.00000000
97637.61880940,1.20200000,0.00000000
97767.28364182,1.20200000,0.00000000
97896.94847424,1.20200000,0.00000000
98026.61330665,1.20200000,0.00000000
98156.27813907,1.20200000,0.00000000
98285.94297149,1.20200000,0.00000000
98415.60780390,1.20200000,0.00000000
98545.27263632,1.20200000,0.00000000
98674.93746873,1.20200000,0.00000000
98804.60230115,1.20200000,0.00000000
98934.26713357,1.20200000,0.00000000
99063.93196598,1.20200000,0.00000000
99193.59679840,1.20200000,0.00000000
99323.26163082,1.20200000,0.00000000
99452.92646323,1.20200000,0.00000000
99582.59129565,1.20200000,0.00000000
99712.25612806,1.20200000,0.00000000
99841.92096048,1.20200000,0.00000000
99971.58579290,1.20200000,0.00000000
100101.25062531,1.20200000,0.00000000
100230.91545773,1.20200000,0.00000000
100360.58029015,1.20200000,0.00000000
100490.24512256,1.20200000,0.00000000
100619.90995498,1.20200000,0.00000000
100749.57478739,1.20200000,0.00000000
100879.23961981,1.20200000,0.00000000
101008.90445223,1.20200000,0.00000000
101138.56928464,1.20200000,0.00000000
101268.23411706,1.20200000,0.00000000
101397.89894947,1.20200000,0.00000000
101527.56378189,1.20200000,0.00000000
101657.22861431,1.20200000,0.00000000
101786.89344672,1.20200000,0.00000000
101916.55827914,1.20200000,0.00000000
102046.22311156,1.20200000,0.00000000
102175.88794397,1.20200000,0.00000000
102305.55277639,1.20200000,0.00000000
102435.21760880,1.20200000,0.00000000
102564.88244122,1.20200000,0.00000000
102694.54727364,1.20200000,0.00000000
102824.21210605,1.20200000,0.00000000
102953.87693847,1.20200000,0.00000000
103083.54177089,1.20200000,0.00000000
103213.20660330,1.20200000,0.00000000
103342.87143572,1.20200000,0.00000000
103472.53626813,1.20200000,0.00000000
103602.20110055,1.20200000,0.00000000
103731.86593297,1.20200000,0.00000000
103861.53076538,1.20200000,0.00000000
103991.19559780,1.20200000,0.00000000
104120.86043022,1.20200000,0.00000000
104250.52526263,1.20200000,0.00000000
104380.19009505,1.20200000,0.00000000
104509.85492746,1.20198928,-0.00000019
104639.51975988,1.20195159,-0.00000038
104769.18459230,1.20189105,-0.00000054
104898.84942471,1.20181215,-0.00000067
105028.51425713,1.20171938,-0.00000076
105158.17908954,1.20161721,-0.00000081
105287.84392196,1.20151013,-0.00000083
105417.50875438,1.20140263,-0.00000082
105547.17358679,1.20129920,-0.00000077
105676.83841921,1.20120432,-0.00000069
105806.50325163,1.20112248,-0.00000057
105936.16808404,1.20105815,-0.00000042
106065.83291646,1.20101584,-0.00000023
106195.49774887,1.20100002,-0.00000001
106325.16258129,1.20100000,0.00000000
106454.82741371,1.20100000,0.00000000
106584.49224612,1.20100000,0.00000000
106714.15707854,1.20100000,0.00000000
106843.82191096,1.20100000,0.00000000
106973.48674337,1.20100000,0.00000000
107103.15157579,1.20100000,0.00000000
107232.81640820,1.20100000,0.00000000
107362.48124062,1.20100000,0.00000000
107492.14607304,1.20100000,0.00000000
107621.81090545,1.20100000,0.00000000
107751.47573787,1.20100000,0.00000000
107881.14057029,1.20100000,0.00000000
108010.80540270,1.20100000,0.00000000
108140.47023512,1.20100000,0.00000000
108270.13506753,1.20100000,0.00000000
108399.79989995,1.20100000,0.00000000
108529.46473237,1.20100000,0.00000000
108659.12956478,1.20100000,0.00000000
108788.79439720,1.20100000,0.00000000
108918.45922961,1.20100000,0.00000000
109048.12406203,1.20100000,0.00000000
109177.78889445,1.20100000,0.00000000
109307.45372686,1.20100000,0.00000000
109437.11855928,1.20100000,0.00000000
109566.78339170,1.20100000,0.00000000
109696.44822411,1.20100000,0.00000000
109826.11305653,1.20100000,0.00000000
109955.77788894,1.20100000,0.00000000
110085.44272136,1.20100000,0.00000000
110215.10755378,1.20100000,0.00000000
110344.77238619,1.20100000,0.00000000
110474.43721861,1.20100000,0.00000000
110604.10205103,1.20100000,0.00000000
110733.76688344,1.20100000,0.00000000
110863.43171586,1.20100000,0.00000000
110993.09654827,1.20100000,0.00000000
111122.76138069,1.20100000,0.00000000
111252.42621311,1.20100000,0.00000000
111382.09104552,1.20100000,0.00000000
111511.75587794,1.20100000,0.00000000
111641.42071036,1.20100000,0.00000000
111771.08554277,1.20100000,0.00000000
111900.75037519,1.20100000,0.00000000
112030.41520760,1.20100000,0.00000000
112160.08004002,1.20100000,0.00000000
112289.74487244,1.20100000,0.00000000
112419.40970485,1.20100000,0.00000000
112549.07453727,1.20100000,0.00000000
112678.73936968,1.20100000,0.00000000
112808.40420210,1.20100000,0.00000000
112938.06903452,1.20100000,0.00000000
113067.73386693,1.20100000,0.00000000
113197.39869935,1.20100000,0.00000000
113327.06353177,1.20100000,0.00000000
113456.72836418,1.20100000,0.00000000
113586.39319660,1.20100000,0.00000000
113716.05802901,1.20100000,0.00000000
113845.72286143,1.20100000,0.00000000
113975.38769385,1.20100000,0.00000000
114105.05252626,1.20100000,0.00000000
114234.71735868,1.20100000,0.00000000
114364.38219110,1.20100000,0.00000000
114494.04702351,1.20100000,0.00000000
114623.71185593,1.20100000,0.00000000
114753.37668834,1.20100000,0.00000000
114883.04152076,1.20100000,0.00000000
115012.70635318,1.20100000,0.00000000
115142.37118559,1.20100000,0.00000000
115272.03601801,1.20100000,0.00000000
115401.70085043,1.20100000,0.00000000
115531.36568284,1.20100000,0.00000000
115661.03051526,1.20100000,0.00000000
115790.69534767,1.20100000,0.00000000
115920.36018009,1.20100000,0.00000000
116050.02501251,1.20100000,0.00000000
116179.68984492,1.20100000,0.00000000
116309.35467734,1.20100000,0.00000000
116439.01950975,1.20100000,0.00000000
116568.68434217,1.20100000,0.00000000
116698.34917459,1.20100000,0.00000000
116828.01400700,1.20100000,0.00000000
116957.67883942,1.20100000,0.00000000
117087.34367184,1.20100000,0.00000000
117217.00850425,1.20100000,0.00000000
117346.67333667,1.20100000,0.00000000
117476.33816908,1.20100000,0.00000000
117606.00300150,1.20100000,0.00000000
117735.66783392,1.20100000,0.00000000
117865.33266633,1.20100000,0.00000000
117994.99749875,1.20100000,0.00000000
118124.66233117,1.20100000,0.00000000
118254.32716358,1.20100000,0.00000000
118383.99199600,1.20100000,0.00000000
118513.65682841,1.20100000,0.00000000
118643.32166083,1.20100000,0.00000000
118772.98649325,1.20100000,0.00000000
118902.65132566,1.20100000,0.00000000
119032.31615808,1.20100000,0.00000000
119161.98099050,1.20100000,0.00000000
119291.64582291,1.20100000,0.00000000
119421.31065533,1.20100000,0.00000000
119550.97548774,1.20100000,0.00000000
119680.64032016,1.20100000,0.00000000
119810.30515258,1.20100000,0.00000000
119939.96998499,1.20100000,0.00000000
120069.63481741,1.20100000,0.00000000
120199.29964982,1.20100000,0.00000000
120328.96448224,1.20100000,0.00000000
120458.62931466,1.20100000,0.00000000
120588.29414707,1.20100000,0.00000000
120717.95897949,1.20100000,0.00000000
120847.62381191,1.20100000,0.00000000
120977.28864432,1.20100000,0.00000000
121106.95347674,1.20100000,0.00000000
121236.61830915,1.20100000,0.00000000
121366.28314157,1.20100000,0.00000000
121495.94797399,1.20100000,0.00000000
121625.61280640,1.20100000,0.00000000
121755.27763882,1.20100000,0.00000000
121884.94247124,1.20100000,0.00000000
122014.60730365,1.20100000,0.00000000
122144.27213607,1.20100000,0.00000000
122273.93696848,1.20100000,0.00000000
122403.60180090,1.20100000,0.00000000
122533.26663332,1.20100000,0.00000000
122662.93146573,1.20100000,0.00000000
122792.59629815,1.20100000,0.00000000
122922.26113057,1.20100000,0.00000000
123051.92596298,1.20100000,0.00000000
123181.59079540,1.20100000,0.00000000
123311.25562781,1.20100000,0.00000000
123440.92046023,1.20100000,0.00000000
123570.58529265,1.20100000,0.00000000
123700.25012506,1.20100000,0.00000000
123829.91495748,1.20100000,0.00000000
123959.57978989,1.20100000,0.00000000
124089.24462231,1.20100000,0.00000000
124218.90945473,1.20099967,-0.00000003
124348.57428714,1.20098069,-0.00000025
124478.23911956,1.20093570,-0.00000044
124607.90395198,1.20086921,-0.00000058
124737.56878439,1.20078570,-0.00000070
124867.23361681,1.20068965,-0.00000078
124996.89844922,1.20058554,-0.00000082
125126.56328164,1.20047787,-0.00000083
125256.22811406,1.20037112,-0.00000081
125385.89294647,1.20026977,-0.00000075
125515.55777889,1.20017831,-0.00000066
125645.22261131,1.20010123,-0.00000053
125774.88744372,1.20004301,-0.00000036
125904.55227614,1.20000814,-0.00000017
126034.21710855,1.20000000,0.00000000
126163.88194097,1.20000000,0.00000000
126293.54677339,1.20000000,0.00000000
126423.21160580,1.20000000,0.00000000
126552.87643822,1.20000000,0.00000000
126682.54127064,1.20000000,0.00000000
126812.20610305,1.20000000,0.00000000
126941.87093547,1.20000000,0.00000000
127071.53576788,1.20000000,0.00000000
127201.20060030,1.20000000,0.00000000
127330.86543272,1.20000000,0.00000000
127460.53026513,1.20000000,0.00000000
127590.19509755,1.20000000,0.00000000
127719.85992996,1.20000000,0.00000000
127849.52476238,1.20000000,0.00000000
127979.18959480,1.20000000,0.00000000
128108.85442721,1.20000000,0.00000000
128238.51925963,1.20000000,0.00000000
128368.18409205,1.20000000,0.00000000
128497.84892446,1.20000000,0.00000000
128627.51375688,1.20000000,0.00000000
128757.17858929,1.20000000,0.00000000
128886.84342171,1.20000000,0.00000000
129016.50825413,1.20000000,0.00000000
129146.17308654,1.20000000,0.00000000
129275.83791896,1.20000000,0.00000000
129405.50275138,1.20000000,0.00000000
129535.16758379,1.20000000,0.00000000
129664.83241621,1.20000000,0.00000000
129794.49724862,1.20000000,0.00000000
129924.16208104,1.20000000,0.00000000
130053.82691346,1.20000000,0.00000000
130183.49174587,1.20000000,0.00000000
130313.15657829,1.20000000,0.00000000
130442.82141071,1.20000000,0.00000000
130572.48624312,1.20000000,0.00000000
130702.15107554,1.20000000,0.00000000
130831.81590795,1.20000000,0.00000000
130961.48074037,1.20000000,0.00000000
131091.14557279,1.20000000,0.00000000
131220.81040520,1.20000000,0.00000000
131350.47523762,1.20000000,0.00000000
131480.14007004,1.20000000,0.00000000
131609.80490245,1.20000000,0.00000000
131739.46973487,1.20000000,0.00000000
131869.13456728,1.20000000,0.00000000
131998.79939970,1.20000000,0.00000000
132128.46423212,1.20000000,0.00000000
132258.12906453,1.20000000,0.00000000
132387.79389695,1.20000000,0.00000000
132517.45872936,1.20000000,0.00000000
132647.12356178,1.20000000,0.00000000
132776.78839420,1.20000000,0.00000000
132906.45322661,1.20000000,0.00000000
133036.11805903,1.20000000,0.00000000
133165.78289145,1.20000000,0.00000000
133295.44772386,1.20000000,0.00000000
133425.11255628,1.20000000,0.00000000
133554.77738869,1.20000000,0.00000000
133684.44222111,1.20000000,0.00000000
133814.10705353,1.20000000,0.00000000
133943.77188594,1.20000000,0.00000000
134073.43671836,1.20000000,0.00000000
134203.10155078,1.20000000,0.00000000
134332.76638319,1.20000000,0.00000000
134462.43121561,1.20000000,0.00000000
134592.09604802,1.20000000,0.00000000
134721.76088044,1.20000000,0.00000000
134851.42571286,1.20000000,0.00000000
134981.09054527,1.20000000,0.00000000
135110.75537769,1.20000000,0.00000000
135240.42021011,1.20000000,0.00000000
135370.08504252,1.20000000,0.00000000
135499.74987494,1.20000000,0.00000000
135629.41470735,1.20000000,0.00000000
135759.07953977,1.20000000,0.00000000
135888.74437219,1.20000000,0.00000000
136018.40920460,1.20000000,0.00000000
136148.07403702,1.20000000,0.00000000
136277.73886943,1.20000000,0.00000000
136407.40370185,1.20000000,0.00000000
136537.06853427,1.20000000,0.00000000
136666.73336668,1.20000000,0.00000000
136796.39819910,1.20000000,0.00000000
136926.06303152,1.20000000,0.00000000
137055.72786393,1.20000000,0.00000000
137185.39269635,1.20000000,0.00000000
137315.05752876,1.20000000,0.00000000
137444.72236118,1.20000000,0.00000000
137574.38719360,1.20000000,0.00000000
137704.05202601,1.20000000,0.00000000
137833.71685843,1.20000000,0.00000000
137963.38169085,1.20000000,0.00000000
138093.04652326,1.20000000,0.00000000
138222.71135568,1.20000000,0.00000000
138352.37618809,1.20000000,0.00000000
138482.04102051,1.20000000,0.00000000
138611.70585293,1.20000000,0.00000000
138741.37068534,1.20000000,0.00000000
138871.03551776,1.20000000,0.00000000
139000.70035018,1.20000000,0.00000000
139130.36518259,1.20000000,0.00000000
139260.03001501,1.20000000,0.00000000
139389.69484742,1.20000000,0.00000000
139519.35967984,1.20000000,0.00000000
139649.02451226,1.20000000,0.00000000
139778.68934467,1.20000000,0.00000000
139908.35417709,1.20000000,0.00000000
140038.01900950,1.20000000,0.00000000
140167.68384192,1.20000000,0.00000000
140297.34867434,1.20000000,0.00000000
140427.01350675,1.20000000,0.00000000
140556.67833917,1.20000000,0.00000000
140686.34317159,1.20000000,0.00000000
140816.00800400,1.20000000,0.00000000
140945.67283642,1.20000000,0.00000000
141075.33766883,1.20000000,0.00000000
141205.00250125,1.20000000,0.00000000
141334.66733367,1.20000000,0.00000000
141464.33216608,1.20000000,0.00000000
141593.99699850,1.20000000,0.00000000
141723.66183092,1.20000000,0.00000000
141853.32666333,1.20000000,0.00000000
141982.99149575,1.20000000,0.00000000
142112.65632816,1.20000000,0.00000000
142242.32116058,1.20000000,0.00000000
142371.98599300,1.20000000,0.00000000
142501.65082541,1.20000000,0.00000000
142631.31565783,1.20000000,0.00000000
142760.98049025,1.20000000,0.00000000
142890.64532266,1.20000000,0.00000000
143020.31015508,1.20000000,0.00000000
143149.97498749,1.20000000,0.00000000
143279.63981991,1.20000000,0.00000000
143409.30465233,1.20000000,0.00000000
143538.96948474,1.20000000,0.00000000
143668.63431716,1.20000000,0.00000000
143798.29914957,1.20000000,0.00000000
143927.96398199,1.20000000,0.00000000
144057.62881441,1.20000000,0.00000000
144187.29364682,1.20000000,0.00000000
144316.95847924,1.20000000,0.00000000
144446.62331166,1.20000000,0.00000000
144576.28814407,1.20000000,0.00000000
144705.95297649,1.20000000,0.00000000
144835.61780890,1.20000000,0.00000000
144965.28264132,1.20000000,0.00000000
145094.94747374,1.20000000,0.00000000
145224.61230615,1.20000000,0.00000000
145354.27713857,1.20000000,0.00000000
145483.94197099,1.20000000,0.00000000
145613.60680340,1.20000000,0.00000000
145743.27163582,1.20000000,0.00000000
145872.93646823,1.20000000,0.00000000
146002.60130065,1.20000000,0.00000000
146132.26613307,1.20000000,0.00000000
146261.93096548,1.20000000,0.00000000
146391.59579790,1.20000000,0.00000000
146521.26063032,1.20000000,0.00000000
146650.92546273,1.20000000,0.00000000
146780.59029515,1.20000000,0.00000000
146910.25512756,1.20000000,0.00000000
147039.91995998,1.20000000,0.00000000
147169.58479240,1.20000000,0.00000000
147299.24962481,1.20000000,0.00000000
147428.91445723,1.20000000,0.00000000
147558.57928964,1.20000000,0.00000000
147688.24412206,1.20000000,0.00000000
147817.90895448,1.20000000,0.00000000
147947.57378689,1.20000000,0.00000000
148077.23861931,1.20000000,0.00000000
148206.90345173,1.20000000,0.00000000
148336.56828414,1.20000000,0.00000000
148466.23311656,1.20000000,0.00000000
148595.89794897,1.20000000,0.00000000
148725.56278139,1.20000000,0.00000000
148855.22761381,1.20000000,0.00000000
148984.89244622,1.20000000,0.00000000
149114.55727864,1.20000000,0.00000000
149244.22211106,1.20000000,0.00000000
149373.88694347,1.20000000,0.00000000
149503.55177589,1.20000000,0.00000000
149633.21660830,1.20000000,0.00000000
149762.88144072,1.20000000,0.00000000
149892.54627314,1.20000000,0.00000000
150022.21110555,1.20000000,0.00000000
150151.87593797,1.20000000,0.00000000
150281.54077039,1.20000000,0.00000000
150411.20560280,1.20000000,0.00000000
150540.87043522,1.20000000,0.00000000
150670.53526763,1.20000000,0.00000000
150800.20010005,1.20000000,0.00000000
150929.86493247,1.20000000,0.00000000
151059.52976488,1.20000000,0.00000000
151189.19459730,1.20000000,0.00000000
151318.85942971,1.20000000,0.00000000
151448.52426213,1.20000000,0.00000000
151578.18909455,1.20000000,0.00000000
151707.85392696,1.20000000,0.00000000
151837.51875938,1.20000000,0.00000000
151967.18359180,1.20000000,0.00000000
152096.84842421,1.20000000,0.00000000
152226.51325663,1.20000000,0.00000000
152356.17808904,1.20000000,0.00000000
152485.84292146,1.20000000,0.00000000
152615.50775388,1.20000000,0.00000000
152745.17258629,1.20000000,0.00000000
152874.83741871,1.20000000,0.00000000
153004.50225113,1.20000000,0.00000000
153134.16708354,1.20000000,0.00000000
153263.83191596,1.20000000,0.00000000
153393.49674837,1.20000000,0.00000000
153523.16158079,1.20000000,0.00000000
153652.82641321,1.20000000,0.00000000
153782.49124562,1.20000000,0.00000000
153912.15607804,1.20000000,0.00000000
154041.82091046,1.20000000,0.00000000
154171.48574287,1.20000000,0.00000000
154301.15057529,1.20000000,0.00000000
154430.81540770,1.20000000,0.00000000
154560.48024012,1.20000000,0.00000000
154690.14507254,1.20000000,0.00000000
154819.80990495,1.20000000,0.00000000
154949.47473737,1.20000000,0.00000000
155079.13956978,1.20000000,0.00000000
155208.80440220,1.20000000,0.00000000
155338.46923462,1.20000000,0.00000000
155468.13406703,1.20000000,0.00000000
155597.79889945,1.20000000,0.00000000
155727.46373187,1.20000000,0.00000000
155857.12856428,1.20000000,0.00000000
155986.79339670,1.20000000,0.00000000
156116.45822911,1.20000000,0.00000000
156246.12306153,1.20000000,0.00000000
156375.78789395,1.20000000,0.00000000
156505.45272636,1.20000000,0.00000000
156635.11755878,1.20000000,0.00000000
156764.78239120,1.20000000,0.00000000
156894.44722361,1.20000000,0.00000000
157024.11205603,1.20000000,0.00000000
157153.77688844,1.20000000,0.00000000
157283.44172086,1.20000000,0.00000000
157413.10655328,1.20000000,0.00000000
157542.77138569,1.20000000,0.00000000
157672.43621811,1.20000000,0.00000000
157802.10105053,1.20000000,0.00000000
157931.76588294,1.20000000,0.00000000
158061.43071536,1.20000000,0.00000000
158191.09554777,1.20000000,0.00000000
158320.76038019,1.20000000,0.00000000
158450.42521261,1.20000000,0.00000000
158580.09004502,1.20000000,0.00000000
158709.75487744,1.20000000,0.00000000
158839.41970985,1.20000000,0.00000000
158969.08454227,1.20000000,0.00000000
159098.74937469,1.20000000,0.00000000
159228.41420710,1.20000000,0.00000000
159358.07903952,1.20000000,0.00000000
159487.74387194,1.20000000,0.00000000
159617.40870435,1.20000000,0.00000000
159747.07353677,1.20000000,0.00000000
159876.73836918,1.20000000,0.00000000
160006.40320160,1.20000000,0.00000000
160136.06803402,1.20000000,0.00000000
160265.73286643,1.20000000,0.00000000
160395.39769885,1.20000000,0.00000000
160525.06253127,1.20000000,0.00000000
160654.72736368,1.20000000,0.00000000
160784.39219610,1.20000000,0.00000000
160914.05702851,1.20000000,0.00000000
161043.72186093,1.20000000,0.00000000
161173.38669335,1.20000000,0.00000000
161303.05152576,1.20000000,0.00000000
161432.71635818,1.20000000,0.00000000
161562.38119060,1.20000000,0.00000000
161692.04602301,1.20000000,0.00000000
161821.71085543,1.20000000,0.00000000
161951.37568784,1.20000000,0.00000000
162081.04052026,1.20000000,0.00000000
162210.70535268,1.20000000,0.00000000
162340.37018509,1.20000000,0.00000000
162470.03501751,1.20000000,0.00000000
162599.69984992,1.20000000,0.00000000
162729.36468234,1.20000000,0.00000000
162859.02951476,1.20000000,0.00000000
162988.69434717,1.20000000,0.00000000
163118.35917959,1.20000000,0.00000000
163248.02401201,1.20000000,0.00000000
163377.68884442,1.20000000,0.00000000
163507.35367684,1.20000000,0.00000000
163637.01850925,1.20000000,0.00000000
163766.68334167,1.20000000,0.00000000
163896.34817409,1.20000000,0.00000000
164026.01300650,1.20000000,0.00000000
164155.67783892,1.20000000,0.00000000
164285.34267134,1.20000000,0.00000000
164415.00750375,1.20000000,0.00000000
164544.67233617,1.20000000,0.00000000
164674.33716858,1.20000000,0.00000000
164804.00200100,1.20000000,0.00000000
164933.66683342,1.20000000,0.00000000
165063.33166583,1.20000000,0.00000000
165192.99649825,1.20000000,0.00000000
165322.66133067,1.20000000,0.00000000
165452.32616308,1.20000000,0.00000000
165581.99099550,1.20000000,0.00000000
165711.65582791,1.20000000,0.00000000
165841.32066033,1.20000000,0.00000000
165970.98549275,1.20000000,0.00000000
166100.65032516,1.20000000,0.00000000
166230.31515758,1.20000000,0.00000000
166359.97998999,1.20000000,0.00000000
166489.64482241,1.20000000,0.00000000
166619.30965483,1.20000000,0.00000000
166748.97448724,1.20000000,0.00000000
166878.63931966,1.20000000,0.00000000
167008.30415208,1.20000000,0.00000000
167137.96898449,1.20000000,0.00000000
167267.63381691,1.20000000,0.00000000
167397.29864932,1.20000000,0.00000000
167526.96348174,1.20000000,0.00000000
167656.62831416,1.20000000,0.00000000
167786.29314657,1.20000000,0.00000000
167915.95797899,1.20000000,0.00000000
168045.62281141,1.20000000,0.00000000
168175.28764382,1.20000000,0.00000000
168304.95247624,1.20000000,0.00000000
168434.61730865,1.20000000,0.00000000
168564.28214107,1.20000000,0.00000000
168693.94697349,1.20000000,0.00000000
168823.61180590,1.20000000,0.00000000
168953.27663832,1.20000000,0.00000000
169082.94147074,1.20000000,0.00000000
169212.60630315,1.20000000,0.00000000
169342.27113557,1.20000000,0.00000000
169471.93596798,1.20000000,0.00000000
169601.60080040,1.20000000,0.00000000
169731.26563282,1.20000000,0.00000000
169860.93046523,1.20000000,0.00000000
169990.59529765,1.20000000,0.00000000
170120.26013007,1.20000000,0.00000000
170249.92496248,1.20000000,0.00000000
170379.58979490,1.20000000,0.00000000
170509.25462731,1.20000000,0.00000000
170638.91945973,1.20000000,0.00000000
170768.58429215,1.20000000,0.00000000
170898.24912456,1.20000000,0.00000000
171027.91395698,1.20000000,0.00000000
171157.57878939,1.20000000,0.00000000
171287.24362181,1.20000000,0.00000000
171416.90845423,1.20000000,0.00000000
171546.57328664,1.20000000,0.00000000
171676.23811906,1.20000000,0.00000000
171805.90295148,1.20000000,0.00000000
171935.56778389,1.20000000,0.00000000
172065.23261631,1.20000000,0.00000000
172194.89744872,1.20000000,0.00000000
172324.56228114,1.20000000,0.00000000
172454.22711356,1.20000000,0.00000000
172583.89194597,1.20000000,0.00000000
172713.55677839,1.20000000,0.00000000
172843.22161081,1.20000000,0.00000000
172972.88644322,1.20000000,0.00000000
173102.55127564,1.20000000,0.00000000
173232.21610805,1.20000000,0.00000000
173361.88094047,1.20000000,0.00000000
173491.54577289,1.20000000,0.00000000
173621.21060530,1.20000000,0.00000000
173750.87543772,1.20000000,0.00000000
173880.54027014,1.20000000,0.00000000
174010.20510255,1.20000000,0.00000000
174139.86993497,1.20000000,0.00000000
174269.53476738,1.20000000,0.00000000
174399.19959980,1.20000000,0.00000000
174528.86443222,1.20000000,0.00000000
174658.52926463,1.20000000,0.00000000
174788.19409705,1.20000000,0.00000000
174917.85892946,1.20000000,0.00000000
175047.52376188,1.20000000,0.00000000
175177.18859430,1.20000000,0.00000000
175306.85342671,1.20000000,0.00000000
175436.51825913,1.20000000,0.00000000
175566.18309155,1.20000000,0.00000000
175695.84792396,1.20000000,0.00000000
175825.51275638,1.20000000,0.00000000
175955.17758879,1.20000000,0.00000000
176084.84242121,1.20000000,0.00000000
176214.50725363,1.20000000,0.00000000
176344.17208604,1.20000000,0.00000000
176473.83691846,1.20000000,0.00000000
176603.50175088,1.20000000,0.00000000
176733.16658329,1.20000000,0.00000000
176862.83141571,1.20000000,0.00000000
176992.49624812,1.20000000,0.00000000
177122.16108054,1.20000000,0.00000000
177251.82591296,1.20000000,0.00000000
177381.49074537,1.20000000,0.00000000
177511.15557779,1.20000000,0.00000000
177640.82041021,1.20000000,0.00000000
177770.48524262,1.20000000,0.00000000
177900.15007504,1.20000000,0.00000000
178029.81490745,1.20000000,0.00000000
178159.47973987,1.20000000,0.00000000
178289.14457229,1.20000000,0.00000000
178418.80940470,1.20000000,0.00000000
178548.47423712,1.20000000,0.00000000
178678.13906953,1.20000000,0.00000000
178807.80390195,1.20000000,0.00000000
178937.46873437,1.20000000,0.00000000
179067.13356678,1.20000000,0.00000000
179196.79839920,1.20000000,0.00000000
179326.46323162,1.20000000,0.00000000
179456.12806403,1.20000000,0.00000000
179585.79289645,1.20000000,0.00000000
179715.45772886,1.20000000,0.00000000
179845.12256128,1.20000000,0.00000000
179974.78739370,1.20000000,0.00000000
180104.45222611,1.20000000,0.00000000
180234.11705853,1.20000000,0.00000000
180363.78189095,1.20000000,0.00000000
180493.44672336,1.20000000,0.00000000
180623.11155578,1.20000000,0.00000000
180752.77638819,1.20000000,0.00000000
180882.44122061,1.20000000,0.00000000
181012.10605303,1.20000000,0.00000000
181141.77088544,1.20000000,0.00000000
181271.43571786,1.20000000,0.00000000
181401.10055028,1.20000000,0.00000000
181530.76538269,1.20000000,0.00000000
181660.43021511,1.20000000,0.00000000
181790.09504752,1.20000000,0.00000000
181919.75987994,1.20000000,0.00000000
182049.42471236,1.20000000,0.00000000
182179.08954477,1.20000000,0.00000000
182308.75437719,1.20000000,0.00000000
182438.41920960,1.20000000,0.00000000
182568.08404202,1.20000000,0.00000000
182697.74887444,1.20000000,0.00000000
182827.41370685,1.20000000,0.00000000
182957.07853927,1.20000000,0.00000000
183086.74337169,1.20000000,0.00000000
183216.40820410,1.20000000,0.00000000
183346.07303652,1.20000000,0.00000000
183475.73786893,1.20000000,0.00000000
183605.40270135,1.20000000,0.00000000
183735.06753377,1.20000000,0.00000000
183864.73236618,1.20000000,0.00000000
183994.39719860,1.20000000,0.00000000
184124.06203102,1.20000000,0.00000000
184253.72686343,1.20000000,0.00000000
184383.39169585,1.20000000,0.00000000
184513.05652826,1.20000000,0.00000000
184642.72136068,1.20000000,0.00000000
184772.38619310,1.20000000,0.00000000
184902.05102551,1.20000000,0.00000000
185031.71585793,1.20000000,0.00000000
185161.38069035,1.20000000,0.00000000
185291.04552276,1.20000000,0.00000000
185420.71035518,1.20000000,0.00000000
185550.37518759,1.20000000,0.00000000
